"","count.P"
"208668_x_at",66
"208688_x_at",76
"208716_s_at",66
"208733_at",69
"208849_at",74
"208909_at",84
"209052_s_at",64
"209118_s_at",75
"209148_at",74
"209304_x_at",78
"209563_x_at",85
"209754_s_at",71
"209779_at",85
"209958_s_at",85
"210064_s_at",74
"210120_s_at",64
"210800_at",75
"210841_s_at",79
"210922_at",85
"210982_s_at",74
"211019_s_at",85
"211065_x_at",83
"211355_x_at",71
"211573_x_at",76
"211574_s_at",85
"211575_s_at",85
"211577_s_at",84
"211580_s_at",85
"211581_x_at",78
"211582_x_at",85
"211587_x_at",85
"211592_s_at",78
"211593_s_at",72
"211594_s_at",72
"211600_at",84
"211604_x_at",74
"211605_s_at",72
"211709_s_at",85
"211715_s_at",75
"211721_s_at",85
"211797_s_at",81
"211805_s_at",85
"211807_x_at",68
"211831_s_at",83
"211836_s_at",84
"211849_s_at",82
"211887_x_at",85
"211904_x_at",85
"211908_x_at",72
"211909_x_at",74
"211911_x_at",85
"211919_s_at",75
"211942_x_at",80
"211943_x_at",72
"212005_at",85
"212010_s_at",76
"212067_s_at",85
"212162_at",66
"212261_at",69
"212345_s_at",85
"212359_s_at",85
"212500_at",70
"212534_at",80
"212616_at",85
"212619_at",83
"212695_at",84
"212701_at",78
"212707_s_at",85
"212733_at",85
"212765_at",84
"212771_at",66
"212795_at",68
"212817_at",66
"212863_x_at",64
"212972_x_at",71
"212977_at",77
"212979_s_at",78
"212980_at",82
"212993_at",82
"212994_at",84
"213012_at",82
"213020_at",80
"213022_s_at",65
"213026_at",85
"213077_at",82
"213146_at",76
"213274_s_at",65
"213371_at",76
"213423_x_at",64
"213436_at",73
"213567_at",85
"213571_s_at",85
"213573_at",83
"213574_s_at",80
"213575_at",84
"213577_at",85
"213582_at",82
"213584_s_at",85
"213586_at",69
"213588_x_at",68
"213595_s_at",81
"213598_at",69
"213601_at",77
"213602_s_at",75
"213603_s_at",84
"213605_s_at",85
"213626_at",85
"213635_s_at",76
"213654_at",83
"213657_s_at",67
"213659_at",79
"213662_at",77
"213678_at",81
"213696_s_at",85
"213697_at",81
"213798_s_at",68
"213818_x_at",68
"213834_at",84
"213901_x_at",68
"214007_s_at",81
"214059_at",71
"214065_s_at",85
"214295_at",78
"214306_at",80
"214447_at",77
"214470_at",81
"214476_at",70
"214776_x_at",85
"214867_at",68
"214956_at",85
"214957_at",85
"215016_x_at",67
"215061_at",67
"215082_at",84
"215096_s_at",85
"215127_s_at",70
"215138_s_at",81
"215139_at",85
"215142_at",84
"215147_at",83
"215151_at",85
"215153_at",81
"215159_s_at",85
"215160_x_at",80
