"","count.P"
"201976_s_at",109
"201978_s_at",130
"201980_s_at",112
"201983_s_at",130
"201984_s_at",130
"201985_at",130
"201987_at",109
"201990_s_at",116
"201994_at",101
"201995_at",130
"201997_s_at",130
"201999_s_at",130
"202037_s_at",129
"202038_at",130
"202040_s_at",116
"202041_s_at",130
"202042_at",129
"202062_s_at",121
"202069_s_at",125
"202070_s_at",130
"202076_at",127
"202081_at",130
"202084_s_at",130
"202098_s_at",130
"202118_s_at",103
"202119_s_at",101
"202123_s_at",114
"202129_s_at",130
"202135_s_at",101
"202136_at",129
"202162_s_at",113
"202184_s_at",130
"202186_x_at",98
"202189_x_at",125
"202190_at",130
"202191_s_at",121
"202194_at",130
"202202_s_at",123
"202204_s_at",130
"202214_s_at",124
"202220_at",127
"202222_s_at",107
"202225_at",119
"202226_s_at",130
"202229_s_at",119
"202232_s_at",130
"202253_s_at",126
"202262_x_at",109
"202264_s_at",129
"202265_at",124
"202269_x_at",130
"202272_s_at",130
"202283_at",130
"202295_s_at",115
"202318_s_at",130
"202350_s_at",129
"202359_s_at",116
"202361_at",130
"202384_s_at",130
"202385_s_at",117
"202389_s_at",130
"202395_at",128
"202408_s_at",98
"202410_x_at",119
"202421_at",102
"202424_at",130
"202431_s_at",130
"202452_at",129
"202453_s_at",128
"202459_s_at",107
"202462_s_at",123
"202496_at",106
"202499_s_at",124
"202504_at",122
"202507_s_at",130
"202517_at",130
"202535_at",130
"202558_s_at",123
"202559_x_at",130
"202564_x_at",130
"202576_s_at",130
"202579_x_at",130
"202580_x_at",119
"202593_s_at",101
"202598_at",128
"202608_s_at",129
"202624_s_at",130
"202634_at",129
"202637_s_at",130
"202641_at",127
"202659_at",130
"202665_s_at",122
"202714_s_at",126
"202716_at",118
"202723_s_at",112
"202732_at",130
"202762_at",120
"202780_at",127
"202786_at",130
"202788_at",130
"202810_at",98
"202823_at",130
"202849_x_at",128
"202851_at",130
"202854_at",130
"202856_s_at",128
"202860_at",130
"202866_at",130
"202881_x_at",119
"202924_s_at",100
"202929_s_at",130
"202948_at",113
"202953_at",122
"202962_at",130
"202966_at",119
"202983_at",130
"203006_at",130
"203032_s_at",130
"203042_at",128
"203043_at",130
"203065_s_at",98
"203075_at",130
"203079_s_at",130
"203081_at",115
"203088_at",103
"203096_s_at",130
"203097_s_at",129
"203125_x_at",126
"203147_s_at",130
"203154_s_at",129
"203182_s_at",130
"203209_at",130
"203270_at",119
"203308_x_at",111
"203313_s_at",115
"203342_at",130
"203351_s_at",130
"203355_s_at",130
"203361_s_at",130
"203372_s_at",130
"203394_s_at",127
"203399_x_at",130
"203409_at",130
"203423_at",113
"203448_s_at",130
"203471_s_at",130
"203472_s_at",130
"203486_s_at",125
"203498_at",115
"203502_at",128
"203508_at",129
"203526_s_at",104
"203530_s_at",106
"203540_at",122
"203559_s_at",130
"203569_s_at",117
"203577_at",130
"203581_at",126
"203582_s_at",130
"203606_at",130
"203608_at",130
"203613_s_at",130
"203623_at",113
"203640_at",130
"203649_s_at",130
"203681_at",130
"203693_s_at",130
"203696_s_at",130
"203720_s_at",130
"203729_at",130
"203732_at",129
"203792_x_at",127
"203795_s_at",130
"203822_s_at",130
"203854_at",130
"203858_s_at",130
"203861_s_at",130
"203866_at",123
"203875_at",130
"203877_at",106
"203883_s_at",130
"203884_s_at",130
"203904_x_at",130
"203925_at",130
"203934_at",130
"203962_s_at",130
"203996_s_at",130
"204009_s_at",117
"204016_at",128
"204028_s_at",125
"204032_at",129
"204035_at",121
"204136_at",130
"204143_s_at",129
"204160_s_at",126
"204204_at",116
"204240_s_at",128
"204250_s_at",110
"204264_at",130
"204273_at",111
"204281_at",130
"204308_s_at",110
"204310_s_at",128
"204316_at",110
"204320_at",130
"204321_at",130
"204327_s_at",126
"204344_s_at",130
"204352_at",127
"204356_at",130
"204387_x_at",129
"204407_at",129
"204452_s_at",130
"204541_at",130
"204621_s_at",130
"204677_at",130
"204699_s_at",126
"204705_x_at",107
"204712_at",116
"204727_at",130
"204761_at",114
"204790_at",130
"204859_s_at",127
"204871_at",98
